"CASEID","IDC1","Q1-3_A~M","Q1-3_A~Y","SAMPLE_ID","SAMPLE_RACE","SAMPLE_SEX","HGC"
1,-4,9,58,5,3,2,-5
2,-4,1,59,5,3,2,12
3,4,8,61,5,3,2,12
4,3,8,62,5,3,2,-5
5,6,7,59,1,3,1,-5
6,5,10,60,1,3,1,16
7,-4,6,64,1,3,1,-5
8,-4,7,58,6,3,2,14
9,-4,7,63,1,3,1,14
10,-4,10,60,6,3,2,-5
11,-4,7,59,1,3,1,-5
12,-4,9,59,5,3,2,-5
13,14,8,58,1,3,1,-5
14,13,10,63,5,3,2,19
15,-4,2,64,1,3,1,16
16,-4,10,58,5,3,2,13
17,18,1,57,1,3,1,13
18,17,3,58,1,3,1,13
19,-4,12,57,5,3,2,-5
20,21,11,59,5,3,2,17
21,20,6,61,5,3,2,16
22,-4,1,63,5,3,2,16
23,24,9,58,1,3,1,-5
24,23,1,61,1,3,1,-5
25,-4,11,59,5,3,2,14
26,-4,9,62,1,3,1,16
27,28,5,60,5,3,2,16
28,27,1,64,5,3,2,-5
29,30,10,60,5,3,2,12
30,29,11,58,5,3,2,12
31,-4,10,63,4,1,1,12
32,33,11,57,8,1,2,-5
33,32,5,62,4,1,1,12
34,35,12,58,1,3,1,13
35,34,8,63,5,3,2,-5
36,-4,8,62,1,3,1,12
37,38,10,58,5,3,2,12
38,37,8,62,5,3,2,12
39,-4,2,59,1,3,1,12
40,41,2,60,2,3,1,14
41,40,4,62,2,3,1,15
42,-4,9,63,1,3,1,12
43,-4,6,61,6,3,2,12
44,-4,4,61,5,3,2,12
45,-4,11,59,1,3,1,-5
46,-4,11,62,5,3,2,-5
47,-4,2,59,1,3,1,12
48,-4,10,58,2,3,1,-5
49,-4,5,58,5,3,2,14
50,51,9,58,5,3,2,12
51,50,1,63,1,3,1,-5
52,-4,9,58,1,3,1,14
53,-4,3,63,4,1,1,12
54,-4,6,58,1,3,1,-5
55,56,11,58,1,3,1,-5
56,55,5,64,5,3,2,-5
57,-4,5,58,5,3,2,12
58,59,1,57,5,3,2,17
59,60,1,59,1,3,1,12
60,58,8,61,1,3,1,12
61,62,9,62,5,3,2,14
62,61,7,64,5,3,2,14
63,64,2,60,1,3,1,16
64,65,9,61,1,3,1,-5
65,63,10,63,5,3,2,-5
66,-4,1,64,1,3,1,14
67,68,1,58,1,3,1,18
68,67,3,62,5,3,2,16
69,-4,7,64,1,3,1,18
70,71,3,61,1,3,1,18
71,70,5,63,1,3,1,-5
72,-4,12,59,5,3,2,16
73,-4,11,63,1,3,1,-5
74,75,11,59,5,3,2,-5
75,76,3,62,5,3,2,16
76,74,2,64,1,3,1,14
77,-4,5,64,5,3,2,16
78,79,4,57,5,3,2,-5
79,78,4,60,1,3,1,-5
80,81,6,63,1,3,1,19
81,80,9,64,1,3,1,-5
82,-4,9,58,3,2,1,-5
83,84,7,60,3,2,1,10
84,83,4,63,3,2,1,12
85,86,6,59,3,2,1,11
86,87,10,60,7,2,2,9
87,85,4,63,3,2,1,12
88,-4,4,57,3,2,1,16
89,-4,3,59,7,2,2,-5
90,91,9,58,1,3,1,16
91,90,7,63,5,3,2,16
92,-4,8,62,5,3,2,12
93,-4,6,64,1,3,1,12
94,95,2,57,1,3,1,10
95,94,7,60,5,3,2,12
96,11751,6,61,6,3,2,12
97,-4,2,58,5,3,2,14
98,-4,9,57,6,3,2,13
99,-4,9,57,5,3,2,14
100,-4,10,63,5,3,2,12
101,102,9,58,1,3,1,-5
102,101,8,64,5,3,2,16
103,-4,5,58,1,3,1,18
104,-4,6,58,5,3,2,-5
105,-4,9,58,6,3,2,12
106,-4,1,61,1,3,1,16
107,108,2,62,1,3,1,16
108,107,7,58,1,3,1,20
109,-4,4,62,5,3,2,-5
110,111,5,57,1,3,1,13
111,112,6,59,5,3,2,12
112,110,9,63,5,3,2,12
113,114,1,63,1,3,1,-5
114,113,1,57,1,3,1,-5
115,116,8,60,5,3,2,-5
116,117,12,63,5,3,2,-5
117,115,9,59,1,3,1,15
118,119,10,61,5,3,2,-5
119,118,5,57,1,3,1,16
120,121,3,62,1,3,1,16
121,120,9,64,5,3,2,17
122,-4,11,61,1,3,1,12
123,-4,7,62,1,3,1,-5
124,125,3,61,5,3,2,15
125,126,2,57,1,3,1,-5
126,124,12,58,1,3,1,14
127,-4,3,60,1,3,1,-5
128,-4,7,58,5,3,2,12
129,-4,9,60,1,3,1,16
130,-4,10,59,6,3,2,-5
131,-4,4,60,6,3,2,-5
132,-4,9,59,6,3,2,-5
133,-4,12,62,5,3,2,12
134,135,6,61,1,3,1,-5
135,134,8,64,1,3,1,16
136,-4,10,57,5,3,2,12
137,138,7,61,5,3,2,16
138,139,11,62,5,3,2,16
139,137,12,63,1,3,1,15
140,-4,9,58,5,3,2,17
141,-4,7,62,5,3,2,18
142,143,1,60,1,3,1,12
143,144,6,61,5,3,2,-5
144,142,7,64,5,3,2,12
145,146,8,62,1,3,1,12
146,145,1,64,1,3,1,12
147,-4,6,61,5,3,2,14
148,149,3,63,1,3,1,12
149,148,2,64,5,3,2,12
150,-4,9,59,1,3,1,12
151,152,12,57,5,3,2,-5
152,151,10,61,5,3,2,12
153,154,1,63,5,3,2,12
154,153,9,64,5,3,2,-5
155,-4,10,63,1,3,1,9
156,-4,12,57,1,3,1,11
157,158,4,62,5,3,2,19
158,159,9,58,5,3,2,17
159,157,4,60,5,3,2,-5
160,161,2,60,5,3,2,14
161,160,3,61,5,3,2,12
162,163,4,61,1,3,1,-5
163,162,4,62,1,3,1,-5
164,-4,3,60,5,3,2,12
165,166,10,60,5,3,2,12
166,165,2,62,1,3,1,13
167,-4,2,60,5,3,2,-5
168,169,4,61,3,2,1,16
169,168,2,63,7,2,2,14
170,-4,1,57,5,3,2,-5
171,-4,1,62,1,3,1,16
172,-4,8,57,6,3,2,9
173,-4,10,62,1,3,1,-5
174,-4,6,60,8,1,2,13
175,176,10,57,5,3,2,14
176,177,9,59,5,3,2,-5
177,175,7,60,1,3,1,-5
178,-4,5,58,1,3,1,16
179,-4,8,58,5,3,2,12
180,-4,3,57,5,3,2,-5
181,182,7,58,1,3,1,12
182,181,8,64,1,3,1,13
183,184,11,58,5,3,2,-5
184,185,1,61,5,3,2,16
185,183,10,64,1,3,1,12
186,187,4,59,5,3,2,18
187,186,6,64,1,3,1,-5
188,-4,1,59,5,3,2,10
189,-4,6,58,1,3,1,16
190,191,7,61,5,3,2,18
191,190,8,63,1,3,1,19
192,-4,6,63,5,3,2,16
193,194,2,58,1,3,1,16
194,193,6,64,1,3,1,-5
195,-4,5,59,1,3,1,18
196,-4,7,64,1,3,1,-5
197,-4,9,62,5,3,2,12
198,-4,6,63,1,3,1,18
199,-4,3,59,1,3,1,12
200,-4,9,58,5,3,2,12
201,-4,6,57,1,3,1,16
202,-4,11,60,1,3,1,14
203,-4,1,58,8,1,2,-5
