"CASEID" "ASEID" "Intel_G2" "Intel_G2_SE" "MCASEID" "AFI_G2" "SiblinginSample" "dup"
"1" 201 1 -1.465 0.543 2 NA 0 2
"2" 202 2 0.556 0.573 2 NA 0 2
"3" 301 1 -0.096 0.555 3 14 0 3
"4" 302 2 0.241 0.543 3 14 0 3
"5" 303 3 -2.947 0.543 3 NA 0 3
"6" 401 1 1.117 0.543 4 16 1 2
"7" 403 NA NA NA 4 NA 0 2
"8" 801 1 1.649 0.543 8 16 0 3
"9" 802 2 0.668 0.543 8 14 0 3
"10" 803 3 0.793 0.543 8 NA 1 3
"11" 1001 1 0.652 0.543 10 17 0 2
"12" 1002 NA NA NA 10 NA 0 2
"13" 1201 NA NA NA 12 NA 0 2
"14" 1202 NA NA NA 12 NA 1 2
"15" 1601 1 1.697 0.543 16 15 1 3
"16" 1602 2 1.078 0.543 16 14 0 3
"17" 1603 3 -0.152 0.573 16 14 0 3
"18" 1901 1 -0.298 0.543 19 NA 0 1
"19" 2001 1 2.41 0.543 20 16 0 1
"20" 2501 1 1.675 0.573 25 17 1 2
"21" 2502 2 1.59 0.543 25 17 1 2
"22" 2701 1 1.404 0.543 27 19 0 2
"23" 2702 2 0.536 0.543 27 20 0 2
"24" 3001 NA NA NA 30 19 0 3
"25" 3002 NA NA NA 30 NA 0 3
"26" 3003 NA NA NA 30 17 0 3
"27" 3501 1 0.642 0.573 35 NA 0 2
"28" 3502 NA NA NA 35 NA 1 2
"29" 3701 1 2.236 0.573 37 17 0 1
"30" 4301 1 -1.058 0.543 43 14 0 4
"31" 4302 2 -1.773 0.543 43 14 0 4
"32" 4303 3 -0.472 0.543 43 NA 0 4
"33" 4304 4 -1.921 0.543 43 NA 0 4
"34" 4401 1 1.483 0.543 44 16 1 2
"35" 4402 2 1.78 0.543 44 16 0 2
"36" 4601 1 -0.464 0.543 46 NA 0 2
"37" 4602 NA NA NA 46 NA 0 2
"38" 4901 1 1.04 0.543 49 18 0 2
"39" 4902 2 -1.229 0.543 49 22 0 2
"40" 5001 1 1.543 0.543 50 16 0 5
"41" 5002 2 0.794 0.543 50 15 0 5
"42" 5003 NA NA NA 50 NA 0 5
"43" 5004 NA NA NA 50 NA 0 5
"44" 5005 5 2.49 0.573 50 NA 0 5
"45" 5701 1 3.649 0.543 57 17 0 3
"46" 5702 NA NA NA 57 NA 0 3
"47" 5703 NA NA NA 57 NA 0 3
"48" 5801 1 2.596 0.543 58 17 0 3
"49" 5802 2 2.916 0.543 58 16 0 3
"50" 5803 3 1.727 0.543 58 18 1 3
"51" 6101 1 1.225 0.543 61 18 1 3
"52" 6102 2 1.867 0.543 61 17 1 3
"53" 6103 3 2.233 0.573 61 NA 0 3
"54" 6201 1 2.266 0.573 62 NA 0 3
"55" 6202 2 1.655 0.573 62 NA 0 3
"56" 6203 3 1.775 0.543 62 NA 0 3
"57" 6801 1 2.522 0.543 68 17 0 3
