"CASEID" "ASEID" "MCASEID" "dup"
"1" 201 1 2 2
"2" 202 2 2 2
"3" 301 1 3 3
"4" 302 2 3 3
"5" 303 3 3 3
"6" 401 1 4 1
"7" 801 1 8 3
"8" 802 2 8 3
"9" 803 3 8 3
"10" 1001 1 10 1
"11" 1601 1 16 3
"12" 1602 2 16 3
"13" 1603 3 16 3
"14" 1901 1 19 1
"15" 2001 1 20 1
"16" 2501 1 25 2
"17" 2502 2 25 2
"18" 2701 1 27 2
"19" 2702 2 27 2
"20" 3501 1 35 1
"21" 3701 1 37 1
"22" 4301 1 43 4
"23" 4302 2 43 4
"24" 4303 3 43 4
"25" 4304 4 43 4
"26" 4401 1 44 2
"27" 4402 2 44 2
"28" 4601 1 46 1
"29" 4901 1 49 2
"30" 4902 2 49 2
"31" 5001 1 50 3
"32" 5002 2 50 3
"33" 5005 5 50 3
"34" 5701 1 57 1
"35" 5801 1 58 3
"36" 5802 2 58 3
"37" 5803 3 58 3
"38" 6101 1 61 3
"39" 6102 2 61 3
"40" 6103 3 61 3
"41" 6201 1 62 3
"42" 6202 2 62 3
"43" 6203 3 62 3
"44" 6801 1 68 3
"45" 6802 2 68 3
"46" 6803 3 68 3
"47" 7801 1 78 3
"48" 7802 2 78 3
"49" 7803 3 78 3
"50" 8601 1 86 1
"51" 8901 1 89 1
"52" 9102 2 91 1
"53" 9201 1 92 2
"54" 9202 2 92 2
"55" 9501 1 95 3
"56" 9502 2 95 3
"57" 9503 3 95 3
"58" 9601 1 96 3
"59" 9602 2 96 3
"60" 9603 3 96 3
"61" 9701 1 97 2
"62" 9702 2 97 2
"63" 9801 1 98 3
"64" 9802 2 98 3
"65" 9803 3 98 3
"66" 9901 1 99 2
"67" 9902 2 99 2
"68" 10001 1 100 2
"69" 10003 3 100 2
"70" 11101 1 111 3
"71" 11102 2 111 3
"72" 11103 3 111 3
"73" 11201 1 112 2
"74" 11202 2 112 2
"75" 12101 1 121 1
"76" 12401 1 124 2
"77" 12402 2 124 2
"78" 12801 1 128 2
"79" 12802 2 128 2
"80" 13301 1 133 1
"81" 13701 1 137 2
"82" 13702 2 137 2
"83" 13801 1 138 3
"84" 13802 2 138 3
"85" 13803 3 138 3
"86" 14001 1 140 1
"87" 14301 1 143 2
"88" 14302 2 143 2
"89" 14401 1 144 3
"90" 14402 2 144 3
"91" 14403 3 144 3
"92" 14901 1 149 2
"93" 14902 2 149 2
"94" 15301 1 153 2
"95" 15302 2 153 2
"96" 15701 1 157 1
"97" 15801 1 158 2
"98" 15802 2 158 2
"99" 15901 1 159 1
"100" 16001 1 160 1
"101" 16101 1 161 2
"102" 16102 2 161 2
"103" 16501 1 165 3
"104" 16502 2 165 3
"105" 16503 3 165 3
"106" 16701 1 167 2
"107" 16702 2 167 2
"108" 17201 1 172 1
"109" 17401 1 174 2
"110" 17402 2 174 2
"111" 17501 1 175 3
"112" 17502 2 175 3
"113" 17503 3 175 3
"114" 17901 1 179 2
"115" 17902 2 179 2
"116" 18001 1 180 3
"117" 18002 2 180 3
"118" 18003 3 180 3
"119" 18301 1 183 3
"120" 18302 2 183 3
"121" 18303 3 183 3
"122" 18401 1 184 1
"123" 18601 1 186 1
"124" 18801 1 188 1
"125" 19001 1 190 1
"126" 19201 1 192 3
"127" 19202 2 192 3
"128" 19203 3 192 3
"129" 19701 1 197 2
"130" 19702 2 197 2
"131" 20001 1 200 2
"132" 20002 2 200 2
"133" 20402 2 204 1
"134" 20501 1 205 1
"135" 20801 1 208 1
"136" 21101 1 211 4
"137" 21102 2 211 4
"138" 21103 3 211 4
"139" 21104 4 211 4
"140" 22101 1 221 4
"141" 22102 2 221 4
"142" 22103 3 221 4
"143" 22104 4 221 4
"144" 22402 2 224 2
"145" 22403 3 224 2
"146" 22701 1 227 4
"147" 22702 2 227 4
"148" 22703 3 227 4
"149" 22704 4 227 4
"150" 22801 1 228 3
"151" 22802 2 228 3
"152" 22804 4 228 3
"153" 22901 1 229 1
"154" 23101 1 231 2
"155" 23102 2 231 2
"156" 23601 1 236 3
"157" 23602 2 236 3
"158" 23603 3 236 3
"159" 23701 1 237 1
"160" 23901 1 239 3
"161" 23902 2 239 3
"162" 23903 3 239 3
"163" 24001 1 240 2
"164" 24002 2 240 2
"165" 24201 1 242 1
"166" 24401 1 244 3
"167" 24402 2 244 3
"168" 24403 3 244 3
"169" 24501 1 245 3
"170" 24502 2 245 3
"171" 24503 3 245 3
"172" 24901 1 249 4
"173" 24902 2 249 4
"174" 24903 3 249 4
"175" 24904 4 249 4
"176" 25001 1 250 2
"177" 25002 2 250 2
"178" 25201 1 252 2
"179" 25202 2 252 2
"180" 25401 1 254 5
"181" 25402 2 254 5
"182" 25403 3 254 5
"183" 25404 4 254 5
"184" 25405 5 254 5
"185" 25501 1 255 5
"186" 25502 2 255 5
"187" 25503 3 255 5
"188" 25504 4 255 5
"189" 25505 5 255 5
"190" 25601 1 256 2
"191" 25602 2 256 2
"192" 25801 1 258 3
"193" 25802 2 258 3
"194" 25803 3 258 3
"195" 26201 1 262 1
"196" 26501 1 265 4
"197" 26502 2 265 4
"198" 26503 3 265 4
"199" 26504 4 265 4
"200" 27201 1 272 4
"201" 27202 2 272 4
"202" 27203 3 272 4
"203" 27204 4 272 4
"204" 27501 1 275 2
"205" 27502 2 275 2
"206" 27801 1 278 3
"207" 27802 2 278 3
"208" 27803 3 278 3
"209" 28201 1 282 2
"210" 28202 2 282 2
"211" 28501 1 285 3
"212" 28502 2 285 3
"213" 28503 3 285 3
"214" 28702 2 287 1
"215" 28801 1 288 6
"216" 28802 2 288 6
"217" 28803 3 288 6
"218" 28804 4 288 6
"219" 28805 5 288 6
"220" 28806 6 288 6
"221" 28901 1 289 2
"222" 28902 2 289 2
"223" 29001 1 290 2
"224" 29002 2 290 2
"225" 29201 1 292 2
"226" 29202 2 292 2
"227" 29301 1 293 2
"228" 29302 2 293 2
"229" 29701 1 297 2
"230" 29702 2 297 2
"231" 29801 1 298 1
"232" 31201 1 312 2
"233" 31202 2 312 2
"234" 31401 1 314 5
"235" 31402 2 314 5
"236" 31403 3 314 5
"237" 31404 4 314 5
"238" 31405 5 314 5
"239" 32101 1 321 3
"240" 32102 2 321 3
"241" 32103 3 321 3
"242" 32201 1 322 3
"243" 32202 2 322 3
"244" 32203 3 322 3
"245" 33301 1 333 2
"246" 33302 2 333 2
"247" 33501 1 335 1
"248" 33801 1 338 2
"249" 33802 2 338 2
"250" 33901 1 339 1
"251" 34001 1 340 3
"252" 34002 2 340 3
"253" 34003 3 340 3
"254" 34301 1 343 1
"255" 34401 1 344 2
"256" 34402 2 344 2
"257" 34701 1 347 2
"258" 34702 2 347 2
"259" 35401 1 354 2
"260" 35402 2 354 2
"261" 36901 1 369 2
"262" 36902 2 369 2
"263" 37101 1 371 1
"264" 37301 1 373 2
"265" 37302 2 373 2
"266" 37401 1 374 3
"267" 37402 2 374 3
"268" 37403 3 374 3
"269" 37901 1 379 3
"270" 37902 2 379 3
"271" 37903 3 379 3
"272" 38201 1 382 2
"273" 38202 2 382 2
"274" 38501 1 385 3
"275" 38502 2 385 3
"276" 38503 3 385 3
"277" 38801 1 388 3
"278" 38802 2 388 3
"279" 38803 3 388 3
"280" 39001 1 390 1
"281" 39101 1 391 3
"282" 39102 2 391 3
"283" 39103 3 391 3
"284" 39501 1 395 2
"285" 39502 2 395 2
"286" 39701 1 397 4
"287" 39702 2 397 4
"288" 39703 3 397 4
"289" 39704 4 397 4
"290" 39901 1 399 1
"291" 40001 1 400 1
"292" 40101 1 401 2
"293" 40102 2 401 2
"294" 40201 1 402 3
"295" 40202 2 402 3
"296" 40203 3 402 3
"297" 40501 1 405 3
"298" 40502 2 405 3
"299" 40503 3 405 3
"300" 40701 1 407 2
"301" 40702 2 407 2
"302" 41401 1 414 2
"303" 41402 2 414 2
"304" 41601 1 416 4
"305" 41602 2 416 4
"306" 41603 3 416 4
"307" 41604 4 416 4
"308" 41801 1 418 1
"309" 42501 1 425 5
"310" 42502 2 425 5
"311" 42503 3 425 5
"312" 42504 4 425 5
"313" 42505 5 425 5
"314" 42701 1 427 1
"315" 42801 1 428 2
"316" 42802 2 428 2
"317" 43101 1 431 3
"318" 43102 2 431 3
"319" 43103 3 431 3
